Pin,Pin name,GPIO,Net
1,GND,,GND
2,3V3,,+3.3V
3,EN,,CHIP-PU/RST/EN
4,IO4,GPIO4,SL/I04
5,IO5,GPIO5,(unconnected)
6,IO6,GPIO6,(unconnected)
7,IO7,GPIO7,(unconnected)
8,IO15,GPIO15,(unconnected)
9,IO16,GPIO16,(unconnected)
10,IO17,GPIO17,SDA2/IO17
11,IO18,GPIO18,SCL2/IO18
12,IO8,GPIO8,SDA/IO8
13,USB_D-,,USB_D-
14,USB_D+,,USB_D+
15,IO3,GPIO3,EL/IO3
16,IO46,GPIO46,(unconnected)
17,IO9,GPIO9,SCL/IO9
18,IO10,GPIO10,(unconnected)
19,IO11,GPIO11,SW1/IO11
20,IO12,GPIO12,SW2/IO12
21,IO13,GPIO13,SW3/IO13
22,IO14,GPIO14,SW4/IO14
23,IO21,GPIO21,(unconnected)
24,IO47,GPIO47,(unconnected)
25,IO48,GPIO48,(unconnected)
26,IO45,GPIO45,(unconnected)
27,IO0,GPIO0,BOOT
28,IO35,GPIO35,(unconnected)
29,IO36,GPIO36,(unconnected)
30,IO37,GPIO37,(unconnected)
31,IO38,GPIO38,(unconnected)
32,IO39,GPIO39,(unconnected)
33,IO40,GPIO40,(unconnected)
34,IO41,GPIO41,(unconnected)
35,IO42,GPIO42,(unconnected)
36,RXD0,,Net-(U3-RXD0)
37,TXD0,,Net-(U3-TXD0)
38,IO2,GPIO2,RELAY/IO2
39,IO1,GPIO1,BUZZ/IO1
40,GND,,GND
41,GND,,GND
